,Years,Total_Foods,Animal_Food,Plant_Foods,Beverage
4,2022,199835.8,49811.9,133947.4,16076.5
5,2021,174144.8,46445.5,108676.7,19022.6
6,2020,147631.0,36515.7,94746.4,16368.9
7,2019,142987.4,36587.1,90303.6,16096.7
8,2018,140916.9,36244.6,88912.3,15760.0
9,2017,132511.3,34693.3,82599.4,15218.6
10,2016,125437.8,32236.1,79642.8,13558.9
11,2015,123350.7,33556.0,76953.0,12841.7
12,2014,121825.0,34185.1,75626.2,12013.7
13,2013,111777.7,28494.6,71992.2,11290.9
14,2012,108811.0,26870.8,71045.8,10894.4
15,2011,104482.8,25682.4,68626.3,10174.1
16,2010,88457.0,23010.9,56152.9,9293.2
17,2009,78472.3,20593.8,49128.6,8749.9
18,2008,85752.1,22909.9,52982.6,9859.6
19,2007,77937.8,22971.0,45027.3,9939.5
20,2006,71925.6,21992.8,40694.6,9238.2
21,2005,65311.7,20706.2,36694.3,7911.2
22,2004,59268.3,19300.3,32920.5,7047.5
23,2003,53102.2,17716.3,28764.8,6621.1
24,2002,47205.1,17023.5,24364.0,5817.6
25,2001,44396.4,16726.1,22547.1,5123.2
26,2000,43788.6,16120.3,22829.7,4838.6
27,1999,41825.0,14296.9,23094.8,4433.3
